Tytul;issn;eissn;punkty;;;;;;;;
Archives of Cardiovascular Diseases;1875-2136;;25;;;;;;;;
Archives of Civil and Mechanical Engineering;1644-9665;;30;;;;;;;;
ARCHIVES OF CLINICAL NEUROPSYCHOLOGY;0887-6177;;35;;;;;;;;
Archives of Clinical Psychiatry;0101-6083;;15;;;;;;;;
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING;1134-3060;;50;;;;;;;;
ARCHIVES OF DERMATOLOGICAL RESEARCH;0340-3696;;30;;;;;;;;
ARCHIVES OF DERMATOLOGY;0003-987X;;45;;;;;;;;
ARCHIVES OF DISEASE IN CHILDHOOD;0003-9888;;40;;;;;;;;
Archives of Disease in Childhood-Education and Practice
Edition;1743-0585;;25;;;;;;;;
Archives of Disease in Childhood-Fetal and Neonatal Edition;1359-2998;;45;;;;;;;;
Archives of Environmental & Occupational Health;1933-8244;;20;;;;;;;;
ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND
TOXICOLOGY;0090-4341;;25;;;;;;;;
Archives of Environmental Protection;2083-4772;2083-4810;15;;;;;;;;
Archives of Facial Plastic Surgery;1521-2491;;30;;;;;;;;
ARCHIVES OF GENERAL PSYCHIATRY;0003-990X;;50;;;;;;;;
ARCHIVES OF GERONTOLOGY AND GERIATRICS;0167-4943;;20;;;;;;;;
ARCHIVES OF GYNECOLOGY AND OBSTETRICS;0932-0067;;20;;;;;;;;
ARCHIVES OF HISTOLOGY AND CYTOLOGY;0914-9465;;15;;;;;;;;
ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY;0739-4462;;20;;;;;;;;
ARCHIVES OF INTERNAL MEDICINE;0003-9926;;45;;;;;;;;
Archives of Iranian Medicine;1029-2977;;25;;;;;;;;
ARCHIVES OF MECHANICS;0373-2029;;25;;;;;;;;
ARCHIVES OF MEDICAL RESEARCH;0188-4409;;25;;;;;;;;
Archives of Medical Science;1734-1922;;30;;;;;;;;
ARCHIVES OF METALLURGY AND MATERIALS;1733-3490;;30;;;;;;;;
ARCHIVES OF MICROBIOLOGY;0302-8933;;20;;;;;;;;
Archives of Mining Sciences;0860-7001;;20;;;;;;;;
ARCHIVES OF NATURAL HISTORY;0260-9541;;20;;;;;;;;
ARCHIVES OF NEUROLOGY;0003-9942;;45;;;;;;;;
ARCHIVES OF OPHTHALMOLOGY;0003-9950;;45;;;;;;;;
ARCHIVES OF ORAL BIOLOGY;0003-9969;;30;;;;;;;;
ARCHIVES OF ORTHOPAEDIC AND TRAUMA SURGERY;0936-8051;;25;;;;;;;;
Archives of Osteoporosis;1862-3522;;25;;;;;;;;
ARCHIVES OF OTOLARYNGOLOGY-HEAD & NECK SURGERY;0886-4470;;35;;;;;;;;
ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE;0003-9985;;35;;;;;;;;
ARCHIVES OF PEDIATRICS & ADOLESCENT MEDICINE;1072-4710;;50;;;;;;;;
ARCHIVES OF PHARMACAL RESEARCH;0253-6269;;25;;;;;;;;
ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION;0003-9993;;45;;;;;;;;
ARCHIVES OF PHYSIOLOGY AND BIOCHEMISTRY;1381-3455;;20;;;;;;;;
ARCHIVES OF PSYCHIATRIC NURSING;0883-9417;;25;;;;;;;;
Archives of Rheumatology;1309-0291;;15;;;;;;;;
ARCHIVES OF SEXUAL BEHAVIOR;0004-0002;;45;;;;;;;;
ARCHIVES OF SUICIDE RESEARCH;1381-1118;;35;;;;;;;;
ARCHIVES OF SURGERY;0004-0010;;45;;;;;;;;
ARCHIVES OF TOXICOLOGY;0340-5761;;40;;;;;;;;
ARCHIVES OF VIROLOGY;0304-8608;;20;;;;;;;;
Archives of Womens Mental Health;1434-1816;;30;;;;;;;;
Archivos Argentinos de Pediatria;0325-0075;;15;;;;;;;;
ARCHIVOS DE BRONCONEUMOLOGIA;0300-2896;;20;;;;;;;;
ARCHIVOS DE MEDICINA VETERINARIA;0301-732X;;20;;;;;;;;
ARCHIVOS ESPANOLES DE UROLOGIA;0004-0614;;15;;;;;;;;
ARCHIVOS LATINOAMERICANOS DE NUTRICION;0004-0622;;15;;;;;;;;
ARCHIVUM IMMUNOLOGIAE ET THERAPIAE
EXPERIMENTALIS;0004-069X;;25;;;;;;;;
ARCTIC;0004-0843;;20;;;;;;;;
ARCTIC ANTARCTIC AND ALPINE RESEARCH;1523-0430;;25;;;;;;;;
ARCTIC ANTHROPOLOGY;0066-6939;;20;;;;;;;;
ARDEA;0373-2266;;25;;;;;;;;
ARDEOLA;0570-7358;;25;;;;;;;;
AREA;0004-0894;;30;;;;;;;;
Argos;0254-1637;;15;;;;;;;;
Argumenta Oeconomica;1233-5835;;15;;;;;;;;
Argumentation;0920-427X;;25;;;;;;;;
Arhiv za Higijenu Rada i Toksikologiju-Archives of Industrial
Hygiene and Toxicology;0004-1254;;15;;;;;;;;
ARID LAND RESEARCH AND MANAGEMENT;1532-4982;;15;;;;;;;;
ARKIV FOR MATEMATIK;0004-2080;;30;;;;;;;;
ARKIVOC;1551-7004;;20;;;;;;;;
ARMED FORCES & SOCIETY;0095-327X;;25;;;;;;;;
ARQUIVO BRASILEIRO DE MEDICINA VETERINARIA E
ZOOTECNIA;0102-0935;;20;;;;;;;;
Arquivos Brasileiros de Cardiologia;0066-782X;;20;;;;;;;;
Arquivos Brasileiros de Endocrinologia e Metabologia;0004-2730;;15;;;;;;;;
ARQUIVOS BRASILEIROS DE OFTALMOLOGIA;0004-2749;;15;;;;;;;;
ARQUIVOS DE NEURO-PSIQUIATRIA;0004-282X;;15;;;;;;;;
ARS COMBINATORIA;0381-7032;;15;;;;;;;;
ARS Mathematica Contemporanea;1855-3966;;30;;;;;;;;
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY;1079-5642;;45;;;;;;;;
Arthritis & Rheumatology;2326-5191;;40;;;;;;;;
ARTHRITIS AND RHEUMATISM;0004-3591;;45;;;;;;;;
ARTHRITIS CARE & RESEARCH;2151-464X;;40;;;;;;;;
ARTHRITIS RESEARCH & THERAPY;1478-6354;;40;;;;;;;;
ARTHROPOD STRUCTURE & DEVELOPMENT;1467-8039;;35;;;;;;;;
Arthropod Systematics & Phylogeny;1863-7221;;40;;;;;;;;
Arthropod-Plant Interactions;1872-8855;;30;;;;;;;;
ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND
RELATED SURGERY;0749-8063;;45;;;;;;;;
ARTIFICIAL CELLS BLOOD SUBSTITUTES AND
BIOTECHNOLOGY;1073-1199;;15;;;;;;;;
Artificial Cells Nanomedicine and Biotechnology;2169-1401;;20;;;;;;;;
ARTIFICIAL INTELLIGENCE;0004-3702;;40;;;;;;;;
ARTIFICIAL INTELLIGENCE IN MEDICINE;0933-3657;;30;;;;;;;;
ARTIFICIAL INTELLIGENCE REVIEW;0269-2821;;35;;;;;;;;
ARTIFICIAL LIFE;1064-5462;;30;;;;;;;;
ARTIFICIAL ORGANS;0160-564X;;25;;;;;;;;
Arts & Health;1753-3015;;15;;;;;;;;
ARTS IN PSYCHOTHERAPY;0197-4556;;15;;;;;;;;
ARZNEIMITTELFORSCHUNG-DRUG RESEARCH;0004-4172;;15;;;;;;;;
ASAIO JOURNAL;1058-2916;;25;;;;;;;;
ASHRAE JOURNAL;0001-2491;;15;;;;;;;;
Asia Europe Journal;1610-2932;;20;;;;;;;;
ASIA LIFE SCIENCES;0117-3375;;15;;;;;;;;
Asia Pacific Business Review;1360-2381;;20;;;;;;;;
Asia Pacific Education Review;1598-1037;;25;;;;;;;;
Asia Pacific Journal of Anthropology;1444-2213;;20;;;;;;;;
ASIA PACIFIC JOURNAL OF CLINICAL NUTRITION;0964-7058;;20;;;;;;;;
Asia Pacific Journal of Education;0218-8791;;15;;;;;;;;
Asia Pacific Journal of Human Resources;1038-4111;;25;;;;;;;;
Asia Pacific Journal of Management;0217-4561;;40;;;;;;;;
ASIA PACIFIC JOURNAL OF SOCIAL WORK AND
DEVELOPMENT;0218-5385;;15;;;;;;;;
Asia Pacific Journal of Tourism Research;1094-1665;;25;;;;;;;;
Asia Pacific Law Review;1019-2557;;15;;;;;;;;
Asia Pacific Viewpoint;1360-7456;;35;;;;;;;;
Asian American Journal of Psychology;1948-1985;;40;;;;;;;;
Asian and Pacific Migration Journal;0117-1968;;15;;;;;;;;
Asian Biomedicine;1905-7415;;15;;;;;;;;
Asian Business & Management;1472-4782;;20;;;;;;;;
Asian Case Research Journal;0218-9275;;15;;;;;;;;
Asian Economic Journal;1351-3958;;20;;;;;;;;
Asian Economic Papers;1535-3516;;20;;;;;;;;
Asian Economic Policy Review;1832-8105;;20;;;;;;;;
Asian Herpetological Research;2095-0357;;15;;;;;;;;
ASIAN JOURNAL OF ANDROLOGY;1008-682X;;40;;;;;;;;
ASIAN JOURNAL OF CHEMISTRY;0970-7077;;15;;;;;;;;
Asian Journal of Communication;0129-2986;;20;;;;;;;;
ASIAN JOURNAL OF CONTROL;1561-8625;;25;;;;;;;;
Asian Journal of Mathematics;1093-6106;;30;;;;;;;;
Asian Journal of Organic Chemistry;2193-5807;;35;;;;;;;;
ASIAN JOURNAL OF SOCIAL PSYCHOLOGY;1367-2223;;15;;;;;;;;
Asian Journal of Social Science;1568-4849;;20;;;;;;;;
Asian Journal of Surgery;1015-9584;;20;;;;;;;;
Asian Journal of Technology Innovation;1976-1597;;20;;;;;;;;
ASIAN JOURNAL OF WOMENS STUDIES;1225-9276;;20;;;;;;;;
Asian Journal of WTO & International Health Law and Policy;1819-5164;;15;;;;;;;;
Asian Myrmecology;1985-1944;;25;;;;;;;;
Asian Nursing Research;1976-1317;;20;;;;;;;;
ASIAN PACIFIC JOURNAL OF ALLERGY AND IMMUNOLOGY;0125-877X;;15;;;;;;;;
Asian Pacific Journal of Cancer Prevention;1513-7368;;20;;;;;;;;
Asian Pacific Journal of Tropical Medicine;1995-7645;;20;;;;;;;;
Asian Perspective;0258-9184;;20;;;;;;;;
Asian Population Studies;1744-1730;;15;;;;;;;;
Asian Studies Review;1035-7823;;25;;;;;;;;
ASIAN SURVEY;0004-4687;;30;;;;;;;;
Asian Women;1225-925X;;25;;;;;;;;
ASIAN-AUSTRALASIAN JOURNAL OF ANIMAL SCIENCES;1011-2367;;25;;;;;;;;
Asian-Pacific Economic Literature;0818-9935;;15;;;;;;;;
Asia-Pacific Education Researcher;0119-5646;;25;;;;;;;;
Asia-Pacific Journal of Accounting & Economics;1608-1625;;15;;;;;;;;
Asia-Pacific Journal of Atmospheric Sciences;1976-7633;;15;;;;;;;;
Asia-Pacific Journal of Chemical Engineering;1932-2135;;20;;;;;;;;
Asia-Pacific Journal of Clinical Oncology;1743-7555;;15;;;;;;;;
Asia-Pacific Journal of Financial Studies;2041-9945;;15;;;;;;;;
ASIA-PACIFIC JOURNAL OF OPERATIONAL RESEARCH;0217-5959;;15;;;;;;;;
Asia-Pacific Journal of Public Health;1010-5395;;25;;;;;;;;
Asia-Pacific Journal of Teacher Education;1359-866X;;30;;;;;;;;
Asia-Pacific Psychiatry;1758-5864;;15;;;;;;;;
Aslib Journal of Information Management;2050-3806;;20;;;;;;;;
ASLIB PROCEEDINGS;0001-253X;;25;;;;;;;;
ASN Neuro;1759-0914;;35;;;;;;;;
ASSAY AND DRUG DEVELOPMENT TECHNOLOGIES;1540-658X;;20;;;;;;;;
ASSEMBLY AUTOMATION;0144-5154;;25;;;;;;;;
Assessing Writing;1075-2935;;30;;;;;;;;
ASSESSMENT;1073-1911;;35;;;;;;;;
Assessment & Evaluation in Higher Education;0260-2938;;35;;;;;;;;
Assistenza Infermieristica e Ricerca;1592-5986;;15;;;;;;;;
ASSISTIVE TECHNOLOGY;1040-0435;;25;;;;;;;;
AStA-Advances in Statistical Analysis;1863-8171;;25;;;;;;;;
ASTERISQUE;0303-1179;;40;;;;;;;;
Astin Bulletin;0515-0361;;25;;;;;;;;
ASTROBIOLOGY;1531-1074;;35;;;;;;;;
ASTRONOMICAL JOURNAL;0004-6256;;35;;;;;;;;
ASTRONOMISCHE NACHRICHTEN;0004-6337;;20;;;;;;;;
ASTRONOMY & ASTROPHYSICS;1432-0746;;35;;;;;;;;
ASTRONOMY & GEOPHYSICS;1366-8781;;15;;;;;;;;
ASTRONOMY AND ASTROPHYSICS REVIEW;0935-4956;;50;;;;;;;;
Astronomy and Computing;2213-1337;;25;;;;;;;;
ASTRONOMY LETTERS-A JOURNAL OF ASTRONOMY AND
SPACE ASTROPHYSICS;1063-7737;;20;;;;;;;;
ASTRONOMY REPORTS;1063-7729;;15;;;;;;;;
ASTROPARTICLE PHYSICS;0927-6505;;35;;;;;;;;
Astrophysical Bulletin;1990-3413;;20;;;;;;;;
ASTROPHYSICAL JOURNAL;0004-637X;;40;;;;;;;;
Astrophysical Journal Letters;2041-8205;;40;;;;;;;;
ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES;0067-0049;;50;;;;;;;;
ASTROPHYSICS;0571-7256;;15;;;;;;;;
ASTROPHYSICS AND SPACE SCIENCE;0004-640X;;25;;;;;;;;
ASYMPTOTIC ANALYSIS;0921-7134;;20;;;;;;;;
AT-Automatisierungstechnik;0178-2312;;15;;;;;;;;
ATENCION FARMACEUTICA;1139-7357;;15;;;;;;;;
Atencion Primaria;0212-6567;;20;;;;;;;;
ATHEROSCLEROSIS;0021-9150;;35;;;;;;;;
ATHEROSCLEROSIS SUPPLEMENTS;1567-5688;;35;;;;;;;;
ATHLETIC THERAPY TODAY;1078-7895;;15;;;;;;;;
ATLA-ALTERNATIVES TO LABORATORY ANIMALS;0261-1929;;20;;;;;;;;
ATLANTIC GEOLOGY;0843-5561;;20;;;;;;;;
Atlantis-Journal of the Spanish Association of Anglo-
American Studies;0210-6124;;15;;;;;;;;
ATMOSFERA;0187-6236;;15;;;;;;;;
Atmosphere;2073-4433;;20;;;;;;;;
ATMOSPHERE-OCEAN;0705-5900;;25;;;;;;;;
ATMOSPHERIC CHEMISTRY AND PHYSICS;1680-7316;;45;;;;;;;;
ATMOSPHERIC ENVIRONMENT;1352-2310;;40;;;;;;;;
Atmospheric Measurement Techniques;1867-1381;;35;;;;;;;;
Atmospheric Pollution Research;1309-1042;;20;;;;;;;;
ATMOSPHERIC RESEARCH;0169-8095;;30;;;;;;;;
Atmospheric Science Letters;1530-261X;;25;;;;;;;;
ATOMIC DATA AND NUCLEAR DATA TABLES;0092-640X;;30;;;;;;;;
ATOMIC ENERGY;1063-4258;;15;;;;;;;;
ATOMIC SPECTROSCOPY;0195-5373;;20;;;;;;;;
ATOMIZATION AND SPRAYS;1044-5110;;20;;;;;;;;
ATTACHMENT & HUMAN DEVELOPMENT;1461-6734;;30;;;;;;;;
Attention Perception & Psychophysics;1943-3921;;25;;;;;;;;
ATW-INTERNATIONAL JOURNAL FOR NUCLEAR POWER;1431-5254;;15;;;;;;;;
AUDIOLOGY AND NEURO-OTOLOGY;1420-3030;;30;;;;;;;;
AUDITING-A JOURNAL OF PRACTICE & THEORY;0278-0380;;35;;;;;;;;
Augmentative and Alternative Communication;0743-4618;;40;;;;;;;;
AUK;0004-8038;;50;;;;;;;;
AURIS NASUS LARYNX;0385-8146;;20;;;;;;;;
AUSTRAL ECOLOGY;1442-9985;;25;;;;;;;;
Austral Entomology;2052-1758;;25;;;;;;;;
AUSTRALASIAN JOURNAL OF DERMATOLOGY;0004-8380;;20;;;;;;;;
Australasian Journal of Early Childhood;0312-5033;;20;;;;;;;;
Australasian Journal of Educational Technology;1449-5554;;35;;;;;;;;
Australasian Journal of Environmental Management;1448-6563;;15;;;;;;;;
AUSTRALASIAN JOURNAL ON AGEING;1440-6381;;20;;;;;;;;
AUSTRALASIAN PHYSICAL & ENGINEERING SCIENCES IN
MEDICINE;0158-9938;;15;;;;;;;;
AUSTRALASIAN PLANT PATHOLOGY;0815-3191;;20;;;;;;;;
Australasian Psychiatry;1039-8562;;15;;;;;;;;
AUSTRALIAN & NEW ZEALAND JOURNAL OF OBSTETRICS &
GYNAECOLOGY;0004-8666;;20;;;;;;;;
AUSTRALIAN & NEW ZEALAND JOURNAL OF STATISTICS;1369-1473;;20;;;;;;;;
Australian Aboriginal Studies;0729-4352;;15;;;;;;;;
Australian Academic & Research Libraries;0004-8623;;20;;;;;;;;
Australian Accounting Review;1035-6908;;20;;;;;;;;
AUSTRALIAN AND NEW ZEALAND JOURNAL OF
CRIMINOLOGY;0004-8658;;25;;;;;;;;
Australian and New Zealand Journal of Family Therapy;0814-723X;;20;;;;;;;;
AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY;0004-8674;;35;;;;;;;;
AUSTRALIAN AND NEW ZEALAND JOURNAL OF PUBLIC
HEALTH;1326-0200;;25;;;;;;;;
AUSTRALIAN ARCHAEOLOGY;0312-2417;;30;;;;;;;;
Australian Critical Care;1036-7314;;25;;;;;;;;
AUSTRALIAN DENTAL JOURNAL;0045-0421;;30;;;;;;;;
AUSTRALIAN ECONOMIC HISTORY REVIEW;0004-8992;;20;;;;;;;;
AUSTRALIAN ECONOMIC PAPERS;0004-900X;;15;;;;;;;;
Australian Economic Review;0004-9018;;15;;;;;;;;
AUSTRALIAN EDUCATIONAL RESEARCHER;0311-6999;;20;;;;;;;;
Australian Endodontic Journal;1329-1947;;20;;;;;;;;
Australian Family Physician;0300-8495;;20;;;;;;;;
AUSTRALIAN FEMINIST STUDIES;0816-4649;;20;;;;;;;;
AUSTRALIAN FORESTRY;0004-9158;;20;;;;;;;;
AUSTRALIAN GEOGRAPHER;0004-9182;;25;;;;;;;;
Australian Health Review;0156-5788;;15;;;;;;;;
Australian Journal of Adult Learning;1443-1394;;15;;;;;;;;
Australian Journal of Advanced Nursing;0813-0531;;20;;;;;;;;
AUSTRALIAN JOURNAL OF AGRICULTURAL AND RESOURCE
ECONOMICS;1364-985X;;35;;;;;;;;
Australian Journal of Anthropology;1035-8811;;25;;;;;;;;
AUSTRALIAN JOURNAL OF BOTANY;0067-1924;;25;;;;;;;;
AUSTRALIAN JOURNAL OF CHEMISTRY;0004-9425;;30;;;;;;;;
AUSTRALIAN JOURNAL OF DAIRY TECHNOLOGY;0004-9433;;20;;;;;;;;
AUSTRALIAN JOURNAL OF EARTH SCIENCES;0812-0099;;25;;;;;;;;
AUSTRALIAN JOURNAL OF EDUCATION;0004-9441;;20;;;;;;;;
AUSTRALIAN JOURNAL OF ENTOMOLOGY;1326-6756;;25;;;;;;;;
Australian Journal of Forensic Sciences;0045-0618;;20;;;;;;;;
AUSTRALIAN JOURNAL OF GRAPE AND WINE RESEARCH;1322-7130;;45;;;;;;;;
Australian Journal of Guidance and Counselling;1037-2911;;25;;;;;;;;
AUSTRALIAN JOURNAL OF INTERNATIONAL AFFAIRS;1035-7718;;20;;;;;;;;
Australian Journal of Linguistics;0726-8602;;20;;;;;;;;
AUSTRALIAN JOURNAL OF MANAGEMENT;0312-8962;;20;;;;;;;;
AUSTRALIAN JOURNAL OF POLITICAL SCIENCE;1036-1146;;20;;;;;;;;
AUSTRALIAN JOURNAL OF POLITICS AND HISTORY;0004-9522;;20;;;;;;;;
Australian Journal of Primary Health;1448-7527;;20;;;;;;;;
AUSTRALIAN JOURNAL OF PSYCHOLOGY;0004-9530;;25;;;;;;;;
AUSTRALIAN JOURNAL OF PUBLIC ADMINISTRATION;0313-6647;;20;;;;;;;;
Australian Journal of Rural Health;1038-5282;;25;;;;;;;;
AUSTRALIAN JOURNAL OF SOCIAL ISSUES;0157-6321;;20;;;;;;;;
AUSTRALIAN JOURNAL OF SOIL RESEARCH;0004-9573;;30;;;;;;;;
AUSTRALIAN JOURNAL OF ZOOLOGY;0004-959X;;25;;;;;;;;
Australian Library Journal;0004-9670;;15;;;;;;;;
AUSTRALIAN MAMMALOGY;0310-0049;;20;;;;;;;;
Australian Meteorological and Oceanographic Journal;1836-716X;;20;;;;;;;;
Australian Occupational Therapy Journal;0045-0766;;25;;;;;;;;
Australian Orthodontic Journal;0587-3908;;15;;;;;;;;
Australian Prescriber;0312-8008;;20;;;;;;;;
AUSTRALIAN PSYCHOLOGIST;0005-0067;;25;;;;;;;;
Australian Social Work;0312-407X;;20;;;;;;;;
AUSTRALIAN SYSTEMATIC BOTANY;1030-1887;;20;;;;;;;;
AUSTRALIAN VETERINARY JOURNAL;0005-0423;;25;;;;;;;;
AUSTRALIAN VETERINARY PRACTITIONER;0310-138X;;15;;;;;;;;
Austrian History Yearbook;0067-2378;;35;;;;;;;;
Austrian Journal of Earth Sciences;2072-7151;;15;;;;;;;;
Austrian Journal of Forest Science;0379-5292;;20;;;;;;;;
Autex Research Journal;1470-9589;;20;;;;;;;;
AUTISM;1362-3613;;35;;;;;;;;
Autism Research;1939-3792;;40;;;;;;;;
AUTOIMMUNITY;0891-6934;;25;;;;;;;;
AUTOIMMUNITY REVIEWS;1568-9972;;40;;;;;;;;
Automated Software Engineering;0928-8910;;30;;;;;;;;
AUTOMATICA;0005-1098;;45;;;;;;;;
Automatika;0005-1144;;15;;;;;;;;
AUTOMATION AND REMOTE CONTROL;0005-1179;;15;;;;;;;;
AUTOMATION IN CONSTRUCTION;0926-5805;;40;;;;;;;;
AUTONOMIC NEUROSCIENCE-BASIC & CLINICAL;1566-0702;;20;;;;;;;;
AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS;1387-2532;;25;;;;;;;;
AUTONOMOUS ROBOTS;0929-5593;;35;;;;;;;;
Autophagy;1554-8627;;45;;;;;;;;
Avian Biology Research;1758-1559;;25;;;;;;;;
Avian Conservation and Ecology;1712-6568;;30;;;;;;;;
AVIAN DISEASES;0005-2086;;35;;;;;;;;
AVIAN PATHOLOGY;0307-9457;;40;;;;;;;;
Avian Research;2053-7166;;15;;;;;;;;
Ayer;1134-2277;;25;;;;;;;;
B E Journal of Economic Analysis & Policy;1935-1682;;20;;;;;;;;
B E Journal of Macroeconomics;1935-1690;;20;;;;;;;;
B E Journal of Theoretical Economics;1935-1704;;20;;;;;;;;
Babel-Revue Internationale de la Traduction-International
Journal of Translation;0521-9744;;15;;;;;;;;
Balkan Journal of Geometry and Its Applications;1224-2780;;25;;;;;;;;
Balkan Journal of Medical Genetics;1311-0160;;15;;;;;;;;
Balkan Medical Journal;2146-3123;;15;;;;;;;;
BALTIC ASTRONOMY;1392-0049;;15;;;;;;;;
BALTIC FORESTRY;1392-1355;;15;;;;;;;;
Baltic Journal of Economics;1406-099X;;15;;;;;;;;
Baltic Journal of Management;1746-5265;;15;;;;;;;;
Baltic Journal of Road and Bridge Engineering;1822-427X;;30;;;;;;;;
Baltica;0067-3064;;15;;;;;;;;
Banach Journal of Mathematical Analysis;1735-8787;;30;;;;;;;;
BANGLADESH JOURNAL OF BOTANY;0253-5416;;15;;;;;;;;
Bangladesh Journal of Pharmacology;1991-007X;;15;;;;;;;;
Bangladesh Journal of Plant Taxonomy;1028-2092;;15;;;;;;;;
Bariatric Nursing and Surgical Patient Care;1557-1459;;15;;;;;;;;
Bariatric Surgical Practice and Patient Care;2168-023X;;15;;;;;;;;
BASIC & CLINICAL PHARMACOLOGY & TOXICOLOGY;1742-7835;;25;;;;;;;;
BASIC AND APPLIED ECOLOGY;1439-1791;;30;;;;;;;;
Basic and Applied Social Psychology;0197-3533;;25;;;;;;;;
BASIC RESEARCH IN CARDIOLOGY;0300-8428;;40;;;;;;;;
BASIN RESEARCH;0950-091X;;35;;;;;;;;
Bauingenieur;0005-6650;;15;;;;;;;;
Bauphysik;0171-5445;;15;;;;;;;;
Bautechnik;0932-8351;;15;;;;;;;;
Bayesian Analysis;1931-6690;;40;;;;;;;;
BEHAVIOR ANALYST;0738-6729;;15;;;;;;;;
BEHAVIOR GENETICS;0001-8244;;30;;;;;;;;
BEHAVIOR MODIFICATION;0145-4455;;30;;;;;;;;
Behavior Research Methods;1554-351X;;45;;;;;;;;
BEHAVIOR THERAPY;0005-7894;;40;;;;;;;;
Behavioral and Brain Functions;1744-9081;;25;;;;;;;;
BEHAVIORAL AND BRAIN SCIENCES;0140-525X;;50;;;;;;;;
BEHAVIORAL DISORDERS;0198-7429;;25;;;;;;;;
BEHAVIORAL ECOLOGY;1045-2249;;35;;;;;;;;
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY;0340-5443;;30;;;;;;;;
BEHAVIORAL INTERVENTIONS;1072-0847;;20;;;;;;;;
BEHAVIORAL MEDICINE;0896-4289;;25;;;;;;;;
BEHAVIORAL NEUROSCIENCE;0735-7044;;25;;;;;;;;
Behavioral Psychology-Psicologia Conductual;1132-9483;;15;;;;;;;;
BEHAVIORAL SCIENCES & THE LAW;0735-3936;;35;;;;;;;;
Behavioral Sleep Medicine;1540-2002;;30;;;;;;;;
BEHAVIOUR;0005-7959;;25;;;;;;;;
BEHAVIOUR & INFORMATION TECHNOLOGY;0144-929X;;25;;;;;;;;
BEHAVIOUR CHANGE;0813-4839;;20;;;;;;;;
BEHAVIOUR RESEARCH AND THERAPY;0005-7967;;40;;;;;;;;
BEHAVIOURAL AND COGNITIVE PSYCHOTHERAPY;1352-4658;;25;;;;;;;;
BEHAVIOURAL BRAIN RESEARCH;0166-4328;;30;;;;;;;;
BEHAVIOURAL NEUROLOGY;0953-4180;;20;;;;;;;;
Behavioural Pharmacology;0955-8810;;25;;;;;;;;
BEHAVIOURAL PROCESSES;0376-6357;;25;;;;;;;;
Beilstein Journal of Nanotechnology;2190-4286;;35;;;;;;;;
Beilstein Journal of Organic Chemistry;1860-5397;;30;;;;;;;;
BELGIAN JOURNAL OF ZOOLOGY;0777-6276;;20;;;;;;;;
BELL LABS TECHNICAL JOURNAL;1089-7089;;20;;;;;;;;
Beneficial Microbes;1876-2883;;25;;;;;;;;
B-ENT;0001-6497;;15;;;;;;;;
BERICHTE UBER LANDWIRTSCHAFT;2196-5099;;15;;;;;;;;
Berichte zur Wissenschaftsgeschichte;0170-6233;;15;;;;;;;;
BERLINER JOURNAL FUR SOZIOLOGIE;0863-1808;;15;;;;;;;;
BERLINER UND MUNCHENER TIERARZTLICHE
WOCHENSCHRIFT;0005-9366;;25;;;;;;;;
BERNOULLI;1350-7265;;30;;;;;;;;
BEST PRACTICE & RESEARCH CLINICAL ENDOCRINOLOGY &
METABOLISM;1521-690X;;35;;;;;;;;
BEST PRACTICE & RESEARCH CLINICAL HAEMATOLOGY;1521-6926;;30;;;;;;;;
BEST PRACTICE & RESEARCH CLINICAL OBSTETRICS &
GYNAECOLOGY;1521-6934;;35;;;;;;;;
BEST PRACTICE & RESEARCH IN CLINICAL
GASTROENTEROLOGY;1521-6918;;35;;;;;;;;
BEST PRACTICE & RESEARCH IN CLINICAL RHEUMATOLOGY;1521-6942;;30;;;;;;;;
Beton- und Stahlbetonbau;0005-9900;;15;;;;;;;;
BETRIEBSWIRTSCHAFTLICHE FORSCHUNG UND PRAXIS;0340-5370;;15;;;;;;;;
Big Data;2167-6461;;30;;;;;;;;
Bijdragen tot de Taal-, Land- en Volkenkunde (Journal of the
Humanities and Social Sciences of Southeast Asia and Oceania);0006-2294;;25;;;;;;;;
Bilig;1301-0549;;15;;;;;;;;
Bilingualism-Language and Cognition;1366-7289;;40;;;;;;;;
BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL
SOUND AND ITS RECORDING;0952-4622;;30;;;;;;;;
Bioanalysis;1757-6180;;35;;;;;;;;
BIOCATALYSIS AND BIOTRANSFORMATION;1024-2422;;15;;;;;;;;
BIOCELL;0327-9545;;20;;;;;;;;
Biochemia Medica;1330-0962;;35;;;;;;;;
BIOCHEMICAL AND BIOPHYSICAL RESEARCH
COMMUNICATIONS;0006-291X;;25;;;;;;;;
BIOCHEMICAL ENGINEERING JOURNAL;1369-703X;;35;;;;;;;;
BIOCHEMICAL GENETICS;0006-2928;;15;;;;;;;;
